Language	Language(local)	Wiki	Articles	Total	Edits	Admins	Users	Active Users	Images	Depth
English	English	en	5,561,186	44,088,785	932,383,423	1,238	32,792,486	133,647	853,779	1015.02
Cebuano	Cebuano	ceb	5,383,117	8,963,986	19,486,552	4	43,455	158	0	0.96
Swedish	svenska	sv	3,785,766	7,644,263	42,337,047	67	591,945	2,778	0	5.75
German	Deutsch	de	2,148,466	6,043,095	177,867,976	195	2,827,252	20,461	122,386	96.72
French	français	fr	1,952,230	9,255,248	147,521,525	163	3,006,123	19,819	53,397	223.05
Dutch	Nederlands	nl	1,922,413	3,881,815	51,997,094	43	892,473	4,137	22	13.92
Russian	русский	ru	1,450,471	5,561,939	102,973,471	84	2,235,006	11,218	205,938	148.76
Italian	italiano	it	1,413,979	5,087,850	99,573,140	115	1,610,718	8,975	138,557	132.12
Spanish	español	es	1,385,563	6,201,483	105,014,492	73	4,882,598	15,416	0	204.58
Polish	polski	pl	1,263,336	2,787,079	52,305,743	105	865,750	4,541	39	27.3
Waray	Winaray	war	1,262,782	2,875,441	6,306,961	2	35,405	74	44	3.58
Vietnamese	Tiếng Việt	vi	1,167,441	11,846,149	36,943,881	22	583,637	1,494	25,247	260.94
Japanese	日本語	ja	1,093,354	3,223,553	68,169,924	45	1,293,435	13,170	84,348	80.27
Portuguese	português	pt	990,425	4,551,637	52,173,056	76	2,043,036	5,905	47,271	148.19
Chinese	中文	zh	988,768	5,292,139	49,283,366	80	2,468,662	7,934	48,129	176.4
Ukrainian	українська	uk	764,833	2,306,679	22,091,477	41	389,018	2,969	91,880	38.92
Serbian	српски / srpski	sr	602,419	2,540,369	17,571,454	18	213,805	813	29,188	71.58
Persian	فارسی	fa	589,997	3,868,041	26,825,324	35	708,202	4,681	47,558	214.08
Catalan	català	ca	571,082	1,414,060	19,979,767	24	279,766	1,520	10,249	30.79
Arabic	العربية	ar	556,671	3,411,247	29,925,566	31	1,438,206	4,367	30,175	230.68
Norwegian (Bokmål)	norsk	no	482,389	1,273,435	18,180,103	43	414,635	1,569	1	38.39
Serbo-Croatian	srpskohrvatski / српскохрватски	sh	442,000	4,589,339	40,835,783	10	116,204	228	8,941	783.4
Finnish	suomi	fi	430,399	1,161,532	17,890,813	37	370,750	1,796	51,838	44.45
Hungarian	magyar	hu	425,245	1,234,917	20,217,669	31	368,744	1,858	24,308	59.35
Indonesian	Bahasa Indonesia	id	421,686	2,284,739	14,673,569	35	934,473	2,206	60,652	125.36
Korean	한국어	ko	407,822	1,577,476	22,444,714	25	486,156	2,234	13,563	117.04
Czech	čeština	cs	399,069	1,070,585	15,778,457	30	398,692	2,083	1	41.73
Romanian	română	ro	383,257	1,986,699	12,153,270	19	425,693	1,087	36,143	107.07
Malay	Bahasa Melayu	ms	311,392	843,884	4,630,031	13	206,456	407	21,625	16.04
Turkish	Türkçe	tr	304,720	1,544,037	20,481,534	27	987,461	874	30,539	219.42
Basque	euskara	eu	288,124	707,679	6,231,136	12	83,521	362	0	18.67
Esperanto	Esperanto	eo	244,703	539,188	6,332,780	19	141,126	387	4,458	17.01
Bulgarian	български	bg	238,898	530,805	8,722,873	27	227,011	822	806	24.54
Armenian	Հայերեն	hy	237,435	792,618	5,657,835	11	70,584	585	6,937	39.03
Danish	dansk	da	234,851	791,145	9,359,888	26	314,036	1,044	0	66.38
Min Nan	Bân-lâm-gú	zh-min-nan	226,062	710,751	1,902,869	5	33,055	90	362	12.31
Slovak	slovenčina	sk	224,669	487,708	6,641,522	8	152,825	555	0	18.67
Minangkabau	Baso Minangkabau	min	222,126	317,080	1,543,764	3	6,752	25	106	0.89
Kazakh	қазақша	kk	220,752	515,467	2,700,572	16	74,411	223	9,524	9.34
Hebrew	עברית	he	219,153	909,727	23,275,788	41	358,781	2,975	50,745	254.05
Lithuanian	lietuvių	lt	185,971	437,501	5,498,586	13	117,343	390	20,154	22.99
Croatian	hrvatski	hr	183,218	479,808	5,183,276	21	191,737	547	15,458	28.31
Estonian	eesti	et	168,771	426,231	5,020,900	33	109,174	679	2,777	27.41
Chechen	нохчийн	ce	164,715	189,202	2,470,359	4	16,653	36	270	0.29
Slovenian	slovenščina	sl	159,971	377,632	5,100,423	26	162,673	428	7,679	25
Belarusian	беларуская	be	149,950	492,526	3,123,565	9	73,449	256	2,542	33.1
